Metric Name,Type,Description,Labels,Optional/Dependency
kueue_cohort_weighted_share,Gauge,"Reports a value representing the maximum of the ratios of usage above nominal quota to the lendable resources in the Cohort.",cohort,Standard
kueue_local_queue_admission_checks_wait_time_seconds,Histogram,"The time from when a workload got the quota reservation until admission, per local_queue.",name; namespace; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_admission_wait_time_seconds,Histogram,"The time between a workload was created or requeued until admission, per local_queue.",name; namespace; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_admitted_active_workloads,Gauge,"The number of admitted Workloads that are active (unsuspended and not finished), per localQueue.",name; namespace,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_admitted_workloads_total,Counter,"The total number of admitted workloads per local_queue.",name; namespace; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_evicted_workloads_total,Counter,"The number of evicted workloads per local_queue.",name; namespace; reason; underlying_cause; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_pending_workloads,Gauge,"The number of pending workloads, per local_queue and status.",name; namespace; status,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_quota_reserved_wait_time_seconds,Histogram,"The time between a workload was created or requeued until it got quota reservation, per local_queue.",name; namespace; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_quota_reserved_workloads_total,Counter,"The total number of quota reserved workloads per local_queue.",name; namespace; priority_class,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_reserving_active_workloads,Gauge,"The number of Workloads that are reserving quota, per localQueue.",name; namespace,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_resource_reservation,Gauge,"Reports the localQueue’s total resource reservation within all the flavors.",name; namespace; flavor; resource,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_resource_usage,Gauge,"Reports the localQueue’s total resource usage within all the flavors.",name; namespace; flavor; resource,Feature Gate: LocalQueueMetrics [1]
kueue_local_queue_status,Gauge,"Reports localQueue with its active status (True, False, or Unknown).",name; namespace; active,Feature Gate: LocalQueueMetrics [1]
kueue_cluster_queue_borrowing_limit,Gauge,"Reports the cluster_queue’s resource borrowing limit within all the flavors.",cohort; cluster_queue; flavor; resource,Config: metrics.enableClusterQueueResources [2]
kueue_cluster_queue_lending_limit,Gauge,"Reports the cluster_queue’s resource lending limit within all the flavors.",cohort; cluster_queue; flavor; resource,Config: metrics.enableClusterQueueResources [2]
kueue_cluster_queue_nominal_quota,Gauge,"Reports the cluster_queue’s resource nominal quota within all the flavors.",cohort; cluster_queue; flavor; resource,Config: metrics.enableClusterQueueResources [2]
kueue_cluster_queue_resource_reservation,Gauge,"Reports the cluster_queue’s total resource reservation within all the flavors.",cohort; cluster_queue; flavor; resource,Config: metrics.enableClusterQueueResources [2]
kueue_cluster_queue_resource_usage,Gauge,"Reports the cluster_queue’s total resource usage within all the flavors.",cohort; cluster_queue; flavor; resource,Config: metrics.enableClusterQueueResources [2]
kueue_cluster_queue_weighted_share,Gauge,"Reports a value representing the maximum of the ratios of usage above nominal quota to the lendable resources in the cohort, among all the resources provided by the ClusterQueue.",cluster_queue; cohort,Config: metrics.enableClusterQueueResources [2]
kueue_admitted_until_ready_wait_time_seconds,Histogram,"The time between a workload was admitted until ready, per cluster_queue.",cluster_queue; priority_class,Config: waitForPodsReady [3]
kueue_local_queue_admitted_until_ready_wait_time_seconds,Histogram,"The time between a workload was admitted until ready, per local_queue.",name; namespace; priority_class,Config: waitForPodsReady [3]
kueue_local_queue_ready_wait_time_seconds,Histogram,"The time between a workload was created or requeued until ready, per local_queue.",name; namespace; priority_class,Config: waitForPodsReady [3]
kueue_ready_wait_time_seconds,Histogram,"The time between a workload was created or requeued until ready, per cluster_queue.",cluster_queue; priority_class,Config: waitForPodsReady [3]
